URN,School level progress 8 score
139328,-0.85
135599,-0.87
137520,-0.87
138097,-0.87
138872,-0.87
137122,-0.88
138388,-0.88
139738,-0.88
135004,-0.89
135597,-0.89
139666,-0.89
137084,-0.9
136119,-0.92
135314,-0.94
137196,-0.96
137113,-1.02
138437,-1.03
137690,-1.05
138199,-1.06
137864,-1.07
136121,-1.08
136135,-1.09
138198,-1.1
128364,-1.12
138368,-1.14
135685,-1.17
136027,-1.21
138223,-1.23
138537,-1.23
139789,-1.34
139902,-1.42
139781,-1.66
139895,-1.72
139667,-1.79
139924,-2.01
138566,-2.09
139237,-2.09
138225,-2.16
138255,-2.32
